formulation,test_case_id,ligand,target,protein,baseline_log2,ode_log2,scm_log2,baseline_fold,ode_fold,scm_fold
mm,5,Insulin,AKT,MEK,0.04731024877095358,0.686537038000909,0.4706939533671535,1.0333365808200943,1.6094157295645215,1.3857758824006432
mm,5,Insulin,AKT,mTOR,0.1286208337769147,0.8017769945122626,0.23715751573801724,1.093248094448156,1.7432469947529339,1.1786680896424673
mm,5,Insulin,AKT,PDK1,0.09294113178840266,0.5544600986532799,0.09294113178840266,1.0665422603962882,1.4686189275549903,1.0665422603962882
hill,5,Insulin,AKT,AKT,2.154306798943866,1.927079131497701,1.5483590374618592,4.451547033539801,3.802844984388899,2.9248426995648797
hill,5,Insulin,AKT,EGFR,0.013165897035870788,0.1736230626757984,0.013165897035870788,1.0091676724359258,1.127887412379351,1.0091676724359258
hill,5,Insulin,AKT,GSK3,0.06635092019858213,0.17230817595129683,0.24856060847595796,1.0470649383931845,1.126859912791524,1.1880212226487912
hill,5,Insulin,AKT,MAPK,0.1300102467363451,0.04272922997169415,0.3643253957962913,1.0943014735054226,1.030060610115282,1.2872795568331181
hill,5,Insulin,AKT,MEK,0.04731024877095358,0.2796379944603715,0.37697208065226295,1.0333365808200943,1.213890253048532,1.2986134714367963
hill,5,Insulin,AKT,mTOR,0.1286208337769147,0.9577205379992473,0.2276923741003356,1.093248094448156,1.9422387268838033,1.1709604706664052
hill,5,Insulin,AKT,PDK1,0.09294113178840266,0.9002290024300973,0.09294113178840266,1.0665422603962882,1.8663622116946144,1.0665422603962882
mass_action,6,EGF,AKT,AKT,2.5663591705529196,1.370194476284425,1.2901643826898477,5.923127618795352,2.585054104861699,2.4455591899428257
mass_action,6,EGF,AKT,EGFR,0.03931163108651203,0.47872857689823567,0.03931163108651203,1.0276233884393202,1.3935150434580306,1.0276233884393202
mass_action,6,EGF,AKT,GSK3,0.011250684183309656,0.7264370731556551,0.2226928745404685,1.0078288665835802,1.654547916225814,1.1669096599749407
mass_action,6,EGF,AKT,MAPK,0.5830898857395368,0.10853519684452473,0.30471506360586087,1.498054266359992,1.0781330260739879,1.2351746625086133
mass_action,6,EGF,AKT,MEK,0.47869117672306194,0.2655069430019361,0.1830454896812297,1.3934789186847998,1.202058361939943,1.1352778980794045
mass_action,6,EGF,AKT,mTOR,0.04686956392651076,0.4067730923812064,0.119329026117309,1.0330209865918378,1.3257172345951762,1.086229557417842
mass_action,6,EGF,AKT,PDK1,0.20144321204632032,0.7110574130643071,0.20144321204632032,1.1498480399531623,1.6370035075918306,1.1498480399531623
mm,6,EGF,AKT,AKT,2.5663591705529196,0.6517627253038796,1.0304459874689198,5.923127618795352,1.5710866213031232,2.0426556100753075
mm,6,EGF,AKT,EGFR,0.03931163108651203,0.3320574093275326,0.03931163108651203,1.0276233884393202,1.2588072643685824,1.0276233884393202
mm,6,EGF,AKT,GSK3,0.011250684183309656,0.2674354113619123,0.18264903477128946,1.0078288665835802,1.2036662426633473,1.1349659647549635
mm,6,EGF,AKT,MAPK,0.5830898857395368,0.006784149821175811,0.2908193725869612,1.498054266359992,1.0047134880221738,1.2233348683270822
mm,6,EGF,AKT,MEK,0.47869117672306194,0.725374484434528,0.04147049669750391,1.3934789186847998,1.6533297400936597,1.0291622871357702
mm,6,EGF,AKT,mTOR,0.04686956392651076,0.13074280415273942,0.1228638259222623,1.0330209865918378,1.0948572681785784,1.088894231198335
mm,6,EGF,AKT,PDK1,0.20144321204632032,0.18319393830353636,0.20144321204632032,1.1498480399531623,1.135394720488883,1.1498480399531623
hill,6,EGF,AKT,AKT,2.5663591705529196,0.564965430348304,1.0151253306687171,5.923127618795352,1.479352060802183,2.0210784616874435
hill,6,EGF,AKT,EGFR,0.03931163108651203,0.43268103067134356,0.03931163108651203,1.0276233884393202,1.3497395345857062,1.0276233884393202
hill,6,EGF,AKT,GSK3,0.011250684183309656,0.6383426596561268,0.2945527848364693,1.0078288665835802,1.556540008591351,1.2265047191138705
hill,6,EGF,AKT,MAPK,0.5830898857395368,0.17650831104496567,0.2956237319418398,1.498054266359992,1.1301453334719582,1.2274155209752375
hill,6,EGF,AKT,MEK,0.47869117672306194,0.6340450409357392,0.11248368445145074,1.3934789186847998,1.551910158424854,1.0810877916606172
