tf_knockdown,gene,baseline_log2,true_knockdown_log2,true_fc,ode_pred_log2,scm_pred_log2,ode_fc,scm_fc,ode_abs_error,scm_abs_error,ode_fc_error,scm_fc_error,scm_wins_abs,scm_wins_fc,ode_fold_error,scm_fold_error,baseline_error
crp,araC,7.256526359050657,8.622508072366687,1.36598171331603,5.957579599371878,7.02061406275374,-1.2989467596787785,-0.23591229629691668,2.6649284729948084,1.6018940096129466,2.6649284729948084,1.6018940096129466,True,True,6.34195865875571,3.0354154950744086,1.36598171331603
crp,araE,6.832570514474684,5.6751103853746985,-1.1574601290999853,5.898130231598656,6.966961809169796,-0.9344402828760279,0.1343912946951118,0.22301984622395743,1.291851423795097,0.22301984622395743,1.291851423795097,False,False,1.1671741577691366,2.448420620783762,1.1574601290999853
crp,araJ,7.512188243902044,7.384350168186934,-0.1278380757151103,5.472658092544244,6.7593789755888345,-2.0395301513578,-0.7528092683132099,1.9116920756426898,0.6249711925980996,1.9116920756426898,0.6249711925980996,True,True,3.762501287736637,1.5421800312052496,0.1278380757151103
crp,argG,7.681839216901441,7.775675365172952,0.0938361482715111,5.388066402718955,6.869333348806235,-2.2937728141824856,-0.8125058680952062,2.3876089624539967,0.9063420163667173,2.3876089624539967,0.9063420163667173,True,True,5.232893735670809,1.8742871739930724,0.0938361482715111
crp,cyaA,9.127830978754409,9.193773856653973,0.06594287789956432,4.027691755510767,9.158810967917567,-5.100139223243642,0.030979989163158805,5.166082101143206,0.03496288873640552,5.166082101143206,0.03496288873640552,True,True,35.90423456333526,1.024530468114946,0.06594287789956432
crp,fis,8.845483257002318,9.20766041161712,0.3621771546148018,6.73528698854477,8.186479693415732,-2.110196268457548,-0.6590035635865856,2.4723734230723498,1.0211807182013874,2.4723734230723498,1.0211807182013874,True,True,5.549560122965178,2.029579311094793,0.3621771546148018
crp,Fis,8.845483257002318,9.20766041161712,0.3621771546148018,6.331579639212598,8.048333249317404,-2.51390361778972,-0.7971500076849143,2.8760807724045216,1.159327162299716,2.8760807724045216,1.159327162299716,True,True,7.341530078436791,2.2335323683054376,0.3621771546148018
crp,galE,7.786340596689382,7.938353581345879,0.15201298465649682,6.291674812319229,7.210985192589382,-1.4946657843701532,-0.5753554041000006,1.64667876902665,0.7273683887564975,1.64667876902665,0.7273683887564975,True,True,3.1311199311642905,1.6556163358900249,0.15201298465649682
crp,galT,7.786340596689382,7.938353581345879,0.15201298465649682,6.176948688051946,7.157101142725312,-1.609391908637436,-0.62923945396407,1.7614048932939328,0.7812524386205668,1.7614048932939328,0.7812524386205668,True,True,3.3902810908548595,1.71862220314661,0.15201298465649682
crp,galK,7.786340596689382,7.938353581345879,0.15201298465649682,5.448563255912999,7.030752278098508,-2.337777340776383,-0.755588318590874,2.48979032543288,0.9076013032473709,2.48979032543288,0.9076013032473709,True,True,5.616963100413283,1.8759238994169258,0.15201298465649682
crp,galM,7.786340596689382,7.938353581345879,0.15201298465649682,6.172083768393443,7.143560410470232,-1.6142568282959395,-0.6427801862191505,1.7662698129524363,0.7947931708756473,1.7662698129524363,0.7947931708756473,True,True,3.4017327731301816,1.7348286461938158,0.15201298465649682
crp,lacZ,7.04311566421072,7.130216012387867,0.08710034817714618,6.64907918675221,6.8580603655911485,-0.3940364774585108,-0.18505529861957193,0.48113682563565696,0.2721556467967181,0.48113682563565696,0.2721556467967181,True,True,1.3958431400319378,1.2076108689320328,0.08710034817714618
